_id,location_dir_id,location_name,direction,linear_name_full,side_street,longitude,latitude,centreline_id,bin_size,latest_calibration_study,first_active,last_active,date_decommissioned,technology,avg_daily_ridership,peak_ridership
1,1,"Bloor St E, west of Castle Frank Rd (retired)",Eastbound,Bloor St E,Castle Frank Rd,-79.3681194,43.6738047,8540609,00:15:00,,1994-06-26,2019-06-13,2019-06-13,Induction - Other,953.5594114824884,4012
2,2,"Bloor St E, west of Castle Frank Rd (retired)",Westbound,Bloor St E,Castle Frank Rd,-79.3681194,43.6738047,8540609,00:15:00,,1994-06-26,2019-06-13,2019-06-13,Induction - Other,892.2491865045384,4570
3,3,"Bloor St W, west of Oakmount Rd",Eastbound,Bloor St W,Oakmount Rd,-79.4625696,43.6541459,30042273,00:15:00,2025-07-23,2023-06-16,2026-04-14,,Induction - Eco-Counter,454.91487279843443,1150
4,4,"Bloor St W, west of Oakmount Rd",Westbound,Bloor St W,Oakmount Rd,-79.4625696,43.6541459,30042273,00:15:00,2025-07-23,2023-06-16,2026-04-14,,Induction - Eco-Counter,481.2759295499022,1272
5,5,"Bloor St W, west of Huron St",Eastbound,Bloor St W,Huron St,-79.4022396,43.6670654,1142672,00:15:00,2025-07-23,2022-10-27,2026-04-14,,Induction - Eco-Counter,1541.4407665505225,4285
6,6,"Bloor St W, west of Huron St",Westbound,Bloor St W,Huron St,-79.4022396,43.6670654,1142672,00:15:00,2025-07-23,2022-10-27,2026-04-14,,Induction - Eco-Counter,1484.673076923077,3881
7,7,"Bloor St W, west of Huron St (retired)",Westbound,Bloor St W,Huron St,-79.4022206,43.6669895,1142672,00:15:00,,2018-02-09,2021-02-08,2022-06-02,Induction - Eco-Counter,1127.8627819548872,2729
8,8,"Bloor St W, east of Palmerston Blvd",Eastbound,Bloor St W,Palmerston Blvd,-79.413093,43.6647258,8353520,00:15:00,2025-07-23,2023-03-31,2026-04-14,,Induction - Eco-Counter,2027.2393247269117,4149
9,9,"Bloor St W, east of Palmerston Blvd",Westbound,Bloor St W,Palmerston Blvd,-79.413093,43.6647258,8353520,00:15:00,2025-07-23,2023-03-31,2026-04-14,,Induction - Eco-Counter,1810.5729537366549,3647
10,10,"Bloor St W, east of Palmerston Blvd (retired)",Eastbound,Bloor St W,Palmerston Blvd,-79.413079,43.6647238,8353520,00:15:00,,2018-02-09,2020-02-11,2020-02-12,Induction - Eco-Counter,1172.326949384405,2954
11,11,"Bloor St W, east of Palmerston Blvd (retired)",Westbound,Bloor St W,Palmerston Blvd,-79.413079,43.6647238,8353520,00:15:00,,2018-02-09,2020-02-11,2020-02-12,Induction - Eco-Counter,1094.7934336525307,2614
12,12,"Bloor St W, east of Old Mill Trl",Eastbound,Bloor St W,Old Mill Trail,-79.494202,43.6491724,30081325,00:15:00,2025-07-23,2024-07-31,2025-11-30,,Induction - Eco-Counter,177.77520661157024,506
13,13,"Bloor St W, east of Old Mill Trl",Westbound,Bloor St W,Old Mill Trail,-79.4941657,43.6492323,30081325,00:15:00,2025-07-23,2024-07-31,2025-12-04,,Induction - Eco-Counter,183.44170771756978,502
14,14,"Keele St, south of Sheppard Ave W (multi-use path)",Northbound,Keele St,Sheppard Ave W,-79.4861368,43.7444884,10133019,00:15:00,2023-10-18,2022-08-06,2026-04-14,,Induction - Eco-Counter,19.402924451665314,83
15,15,"Keele St, south of Sheppard Ave W (multi-use path)",Southbound,Keele St,Sheppard Ave W,-79.4861368,43.7444884,10133019,00:15:00,2023-10-18,2022-08-06,2026-04-14,,Induction - Eco-Counter,16.05040650406504,74
16,16,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",Eastbound,Sheppard Ave W,Sentinel Rd,-79.4921287,43.743467,6002161,00:15:00,2023-10-18,2023-03-28,2025-11-26,,Induction - Eco-Counter,9.52092511013216,34
17,17,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",Westbound,Sheppard Ave W,Sentinel Rd,-79.4921287,43.743467,6002161,00:15:00,2023-10-18,2023-03-27,2025-05-13,,Induction - Eco-Counter,12.764550264550264,55
18,18,"Sherbourne St, north of Gerrard St",Northbound,Sherbourne St,Gerrard St,-79.3725671,43.662038,1143580,00:15:00,2023-10-18,2022-11-14,2026-04-14,,Induction - Eco-Counter,635.1104050833995,1378
19,19,"Sherbourne St, north of Gerrard St",Southbound,Sherbourne St,Gerrard St,-79.3725671,43.662038,1143580,00:15:00,2023-10-18,2022-11-14,2026-04-14,,Induction - Eco-Counter,733.460683081811,1580
20,20,"Sherbourne St, north of Gerrard St (retired)",Northbound,Sherbourne St,Gerrard St,-79.3725992,43.6622954,1143580,01:00:00,,2014-04-11,2019-06-02,2019-06-03,Induction - Eco-Counter,855.8026490066226,2116
21,21,"Sherbourne St, north of Gerrard St (retired)",Southbound,Sherbourne St,Gerrard St,-79.3725901,43.661932,1143580,01:00:00,,2015-10-20,2019-02-22,2019-05-17,Induction - Eco-Counter,904.468030690537,2361
22,22,"Sherbourne St, north of Wellesley St E",Northbound,Sherbourne St,Wellesley St E,-79.375044,43.6679708,10923449,00:15:00,2025-07-23,2022-11-15,2026-04-14,,Induction - Eco-Counter,669.5313741064336,1531
23,23,"Sherbourne St, north of Wellesley St E",Southbound,Sherbourne St,Wellesley St E,-79.375044,43.6679708,10923449,00:15:00,2025-07-23,2022-11-15,2026-04-14,,Induction - Eco-Counter,829.6931637519873,1791
24,24,"Sherbourne St, north of Wellesley St E (retired)",Northbound,Sherbourne St,Wellesley St E,-79.3748765,43.6677188,10923449,00:15:00,,2014-04-30,2019-06-02,2019-06-03,Induction - Eco-Counter,742.9298360655738,1827
25,25,"Sherbourne St, north of Wellesley St E (retired)",Southbound,Sherbourne St,Wellesley St E,-79.3751043,43.6679505,10923449,01:00:00,,2014-04-11,2019-06-02,2019-06-03,Induction - Eco-Counter,811.2702991452992,1952
26,26,"Yonge St, north of Bloor St",Northbound,Yonge St,Bloor St,-79.3868925,43.6705587,11034877,00:15:00,2025-07-23,2022-10-27,2026-04-14,,Induction - Eco-Counter,635.2762128325509,3285
27,27,"Yonge St, north of Bloor St",Southbound,Yonge St,Bloor St,-79.3868925,43.6705587,11034877,00:15:00,2025-07-23,2022-10-27,2026-04-14,,Induction - Eco-Counter,807.2037617554859,1733
